@relation Water-quality

@attribute std_temp numeric
@attribute std_pH numeric
@attribute conduct numeric
@attribute o2 numeric
@attribute o2sat numeric
@attribute co2 numeric
@attribute hardness numeric
@attribute no2 numeric
@attribute no3 numeric
@attribute nh4 numeric
@attribute po4 numeric
@attribute cl numeric
@attribute sio2 numeric
@attribute kmno4 numeric
@attribute k2cr2o7 numeric
@attribute bod numeric
@attribute 25400 {0,1}
@attribute 29600 {0,1}
@attribute 30400 {0,1}
@attribute 33400 {0,1}
@attribute 17300 {0,1}
@attribute 19400 {0,1}
@attribute 34500 {0,1}
@attribute 38100 {0,1}
@attribute 49700 {0,1}
@attribute 50390 {0,1}
@attribute 55800 {0,1}
@attribute 57500 {0,1}
@attribute 59300 {0,1}
@attribute 37880 {0,1}

@data
2.025867,23.722053,3.298439,4.100984,4.072903,0.155396,3.388814,0.345469,2.178153,0.210949,0.526279,1.739018,2.217765,0.837808,0.712491,0.150484,0,1,0,1,1,1,1,0,1,1,1,1,1,0
0.681782,22.821215,3.038281,5.675098,4.73614,0.42734,3.822267,0.403047,3.159855,0.16454,0.105256,1.542344,1.732629,1.216173,0.750746,0.327523,0,1,0,1,0,1,1,0,1,1,1,0,1,1
2.045346,23.722053,2.583003,4.4738,4.45126,0.271943,3.625243,0.460625,3.25189,0.232044,0.715739,1.35602,2.183113,0.851321,0.769873,0.283264,0,0,0,1,1,1,1,1,1,1,1,1,0,1
3.486828,23.421773,2.954658,4.142408,4.838519,0.81583,3.03417,0.403047,2.331544,0.092817,0.18946,0.973022,3.22269,0.89186,0.698146,0.159336,0,1,0,1,1,0,1,1,1,1,1,0,1,1
1.051892,22.821215,3.326313,4.805193,4.215343,0.42734,3.743457,0.403047,4.632409,0.236263,0.315767,1.418128,2.806859,0.729704,0.3682,0.212448,0,0,0,1,1,1,1,1,1,1,1,1,0,0
0.935015,24.62289,3.363479,6.420732,5.541818,0.81583,3.861671,0.345469,3.374603,0.130788,0.18946,1.531992,2.391028,0.783756,0.511655,0.380635,0,0,0,1,0,0,0,0,1,0,1,1,1,1
3.506308,23.722053,2.471506,3.521046,4.117415,0,3.03417,0.63336,1.810014,0.126569,0.126307,0.859158,2.079155,1.054016,0.645546,0.2213,1,1,0,1,1,1,1,0,1,0,1,0,0,0
3.993295,22.220657,3.614346,1.449843,1.776053,8.896433,3.743457,0.806094,0.184069,0.092817,0.18946,1.573398,4.123657,1.553999,1.506273,1.451726,0,1,0,1,1,1,0,1,0,0,0,0,0,1
2.844005,22.220657,3.10332,0.869906,0.948118,2.719434,4.373934,0.345469,0.184069,0.185635,0.421023,1.231805,2.910817,0.783756,0.626418,0.451451,0,0,0,1,0,1,0,1,0,0,0,0,0,1
0.74022,23.121494,3.91167,5.923643,4.98096,0,3.428219,0.403047,2.178153,0.468306,0.35787,2.929418,4.15831,0.648626,0.726837,0.354079,0,0,0,1,0,0,0,1,1,1,0,0,1,1
